customer_id,customer_name,city,email
C000000,Customer 0, ,user0@mail.com
C000001,Customer 1,Pune,user1@mail.com
C000002,Customer 2,mumbai,user2@mail.com
C000003,Customer 3,,user3@mail.com
C000004,Customer 4,Bengaluru,user4@mail.com
C000005,Customer 5,Bengaluru,user5@mail.com
C000006,Customer 6, ,user6@mail.com
C000007,Customer 7, ,user7@mail.com
C000008,Customer 8,Pune,user8@mail.com
C000009,Customer 9,mumbai,user9@mail.com
C000010,Customer 10,,user10@mail.com
C000011,Customer 11, ,user11@mail.com
C000012,Customer 12,Mumbai,user12@mail.com
C000013,Customer 13,mumbai,user13@mail.com
C000014,Customer 14,,user14@mail.com
C000015,Customer 15,Delhi,user15@mail.com
C000016,Customer 16,Delhi,user16@mail.com
C000017,Customer 17,Mumbai,user17@mail.com
C000018,Customer 18, ,user18@mail.com
C000019,Customer 19,,user19@mail.com
C000020,Customer 20,Pune,user20@mail.com
C000021,Customer 21,Mumbai,user21@mail.com
C000022,Customer 22, ,user22@mail.com
C000023,Customer 23, ,user23@mail.com
C000024,Customer 24,Pune,user24@mail.com
C000025,Customer 25,Mumbai,user25@mail.com
C000026,Customer 26,Bengaluru,user26@mail.com
C000027,Customer 27, ,user27@mail.com
C000028,Customer 28,Delhi,
C000029,Customer 29,,user29@mail.com
C000030,Customer 30,Bengaluru,user30@mail.com
C000031,Customer 31,Pune,user31@mail.com
C000032,Customer 32,Pune,user32@mail.com
C000033,Customer 33, ,user33@mail.com
C000034,Customer 34,Chennai,user34@mail.com
C000035,Customer 35,Mumbai,user35@mail.com
C000036,Customer 36,Mumbai,user36@mail.com
C000037,Customer 37, ,user37@mail.com
C000038,Customer 38,Chennai,user38@mail.com
C000039,Customer 39,Mumbai,user39@mail.com
C000040,Customer 40,Bengaluru,user40@mail.com
C000041,Customer 41,Chennai,user41@mail.com
C000042,Customer 42,Mumbai,user42@mail.com
C000043,Customer 43,Delhi,user43@mail.com
C000044,Customer 44,Mumbai,user44@mail.com
C000045,Customer 45,mumbai,user45@mail.com
C000046,Customer 46,,user46@mail.com
C000047,Customer 47,,user47@mail.com
C000048,Customer 48,Pune,user48@mail.com
C000049,Customer 49,,user49@mail.com
C000050,Customer 50,mumbai,user50@mail.com
C000051,Customer 51, ,user51@mail.com
C000052,Customer 52,Bengaluru,user52@mail.com
C000053,Customer 53,Bengaluru,user53@mail.com
C000054,Customer 54,Mumbai,user54@mail.com
C000055,Customer 55,Bengaluru,user55@mail.com
C000056,Customer 56,Mumbai,user56@mail.com
C000057,Customer 57,mumbai,user57@mail.com
C000058,Customer 58,Mumbai,
C000059,Customer 59,Mumbai,user59@mail.com
C000060,Customer 60,,user60@mail.com
C000061,Customer 61, ,user61@mail.com
C000062,Customer 62,Chennai,user62@mail.com
C000063,Customer 63,Pune,user63@mail.com
C000064,Customer 64,Pune,user64@mail.com
C000065,Customer 65,Pune,user65@mail.com
C000066,Customer 66, ,user66@mail.com
C000067,Customer 67, ,user67@mail.com
C000068,Customer 68,Delhi,
C000069,Customer 69,mumbai,user69@mail.com
C000070,Customer 70,Bengaluru,user70@mail.com
C000071,Customer 71,Mumbai,user71@mail.com
C000072,Customer 72,Chennai,user72@mail.com
C000073,Customer 73, ,user73@mail.com
C000074,Customer 74, ,user74@mail.com
C000075,Customer 75,Pune,user75@mail.com
C000076,Customer 76, ,user76@mail.com
C000077,Customer 77,Mumbai,user77@mail.com
C000078,Customer 78,Chennai,
C000079,Customer 79,Pune,user79@mail.com
C000080,Customer 80,Bengaluru,user80@mail.com
C000081,Customer 81,mumbai,
C000082,Customer 82,Bengaluru,user82@mail.com
C000083,Customer 83,Bengaluru,user83@mail.com
C000084,Customer 84,Bengaluru,user84@mail.com
C000085,Customer 85,mumbai,user85@mail.com
C000086,Customer 86,Bengaluru,user86@mail.com
C000087,Customer 87,Bengaluru,
C000088,Customer 88,Pune,user88@mail.com
C000089,Customer 89,Bengaluru,user89@mail.com
C000090,Customer 90,mumbai,user90@mail.com
C000091,Customer 91,Bengaluru,user91@mail.com
C000092,Customer 92,,user92@mail.com
C000093,Customer 93,mumbai,user93@mail.com
C000094,Customer 94,Chennai,user94@mail.com
C000095,Customer 95,mumbai,user95@mail.com
C000096,Customer 96,Chennai,user96@mail.com
C000097,Customer 97,mumbai,user97@mail.com
C000098,Customer 98, ,user98@mail.com
C000099,Customer 99, ,user99@mail.com
C000100,Customer 100,Delhi,user100@mail.com
C000101,Customer 101,Bengaluru,user101@mail.com
C000102,Customer 102,Delhi,user102@mail.com
C000103,Customer 103,Delhi,user103@mail.com
C000104,Customer 104,Chennai,user104@mail.com
C000105,Customer 105, ,user105@mail.com
C000106,Customer 106,Bengaluru,
C000107,Customer 107,Bengaluru,user107@mail.com
C000108,Customer 108,Delhi,user108@mail.com
C000109,Customer 109, ,user109@mail.com
C000110,Customer 110,Mumbai,user110@mail.com
C000111,Customer 111,Pune,user111@mail.com
C000112,Customer 112,Chennai,user112@mail.com
C000113,Customer 113,Bengaluru,user113@mail.com
C000114,Customer 114,mumbai,user114@mail.com
C000115,Customer 115,mumbai,user115@mail.com
C000116,Customer 116,Pune,user116@mail.com
C000117,Customer 117,Bengaluru,user117@mail.com
C000118,Customer 118,,user118@mail.com
C000119,Customer 119,,user119@mail.com
C000120,Customer 120,Pune,user120@mail.com
C000121,Customer 121,Pune,user121@mail.com
C000122,Customer 122,Chennai,user122@mail.com
C000123,Customer 123,Pune,user123@mail.com
C000124,Customer 124, ,user124@mail.com
C000125,Customer 125,Bengaluru,user125@mail.com
C000126,Customer 126,Bengaluru,user126@mail.com
C000127,Customer 127,Mumbai,user127@mail.com
C000128,Customer 128,Pune,user128@mail.com
C000129,Customer 129,Bengaluru,user129@mail.com
C000130,Customer 130,Mumbai,user130@mail.com
C000131,Customer 131,Delhi,user131@mail.com
C000132,Customer 132,Delhi,user132@mail.com
C000133,Customer 133,,
C000134,Customer 134,Bengaluru,user134@mail.com
C000135,Customer 135, ,user135@mail.com
C000136,Customer 136, ,user136@mail.com
C000137,Customer 137,Chennai,user137@mail.com
C000138,Customer 138,Delhi,user138@mail.com
C000139,Customer 139, ,user139@mail.com
C000140,Customer 140,Bengaluru,user140@mail.com
C000141,Customer 141,Chennai,user141@mail.com
C000142,Customer 142,Pune,user142@mail.com
C000143,Customer 143,Pune,user143@mail.com
C000144,Customer 144, ,user144@mail.com
C000145,Customer 145,Chennai,
C000146,Customer 146,Mumbai,user146@mail.com
C000147,Customer 147,,user147@mail.com
C000148,Customer 148,,user148@mail.com
C000149,Customer 149,Chennai,user149@mail.com
C000150,Customer 150,,user150@mail.com
C000151,Customer 151,Chennai,user151@mail.com
C000152,Customer 152,Pune,user152@mail.com
C000153,Customer 153,Bengaluru,user153@mail.com
C000154,Customer 154, ,user154@mail.com
C000155,Customer 155,mumbai,user155@mail.com
C000156,Customer 156,Delhi,user156@mail.com
C000157,Customer 157, ,user157@mail.com
C000158,Customer 158,Chennai,user158@mail.com
C000159,Customer 159,Pune,user159@mail.com
C000160,Customer 160,Pune,user160@mail.com
C000161,Customer 161,mumbai,user161@mail.com
C000162,Customer 162,mumbai,user162@mail.com
C000163,Customer 163,Chennai,
C000164,Customer 164,Delhi,
C000165,Customer 165,Mumbai,user165@mail.com
C000166,Customer 166,Pune,user166@mail.com
C000167,Customer 167,,user167@mail.com
C000168,Customer 168,,user168@mail.com
C000169,Customer 169,Delhi,user169@mail.com
C000170,Customer 170,Pune,user170@mail.com
C000171,Customer 171,,user171@mail.com
C000172,Customer 172,Mumbai,user172@mail.com
C000173,Customer 173,Delhi,
C000174,Customer 174,Bengaluru,user174@mail.com
C000175,Customer 175,Delhi,user175@mail.com
C000176,Customer 176,,user176@mail.com
C000177,Customer 177,Pune,
C000178,Customer 178,mumbai,user178@mail.com
C000179,Customer 179,Chennai,user179@mail.com
C000180,Customer 180,,user180@mail.com
C000181,Customer 181,Delhi,user181@mail.com
C000182,Customer 182,mumbai,user182@mail.com
C000183,Customer 183,Chennai,user183@mail.com
C000184,Customer 184, ,
C000185,Customer 185,mumbai,user185@mail.com
C000186,Customer 186,,user186@mail.com
C000187,Customer 187,Pune,user187@mail.com
C000188,Customer 188,mumbai,user188@mail.com
C000189,Customer 189,Mumbai,user189@mail.com
C000190,Customer 190,Pune,user190@mail.com
C000191,Customer 191,,user191@mail.com
C000192,Customer 192, ,user192@mail.com
C000193,Customer 193,Chennai,
C000194,Customer 194,mumbai,user194@mail.com
C000195,Customer 195, ,user195@mail.com
C000196,Customer 196,Chennai,user196@mail.com
C000197,Customer 197,Pune,
C000198,Customer 198,Bengaluru,user198@mail.com
C000199,Customer 199,Pune,user199@mail.com
C000200,Customer 200,mumbai,user200@mail.com
C000201,Customer 201,Bengaluru,user201@mail.com
C000202,Customer 202,,user202@mail.com
C000203,Customer 203,Mumbai,user203@mail.com
C000204,Customer 204,mumbai,user204@mail.com
C000205,Customer 205,Chennai,user205@mail.com
C000206,Customer 206,Chennai,user206@mail.com
C000207,Customer 207,,user207@mail.com
C000208,Customer 208,Bengaluru,user208@mail.com
C000209,Customer 209,Pune,user209@mail.com
C000210,Customer 210,Mumbai,user210@mail.com
C000211,Customer 211,Bengaluru,user211@mail.com
C000212,Customer 212, ,user212@mail.com
C000213,Customer 213, ,user213@mail.com
C000214,Customer 214,mumbai,user214@mail.com
C000215,Customer 215,Pune,user215@mail.com
C000216,Customer 216,Pune,user216@mail.com
C000217,Customer 217,Chennai,user217@mail.com
C000218,Customer 218,Pune,user218@mail.com
C000219,Customer 219, ,user219@mail.com
C000220,Customer 220,Chennai,user220@mail.com
C000221,Customer 221,Delhi,user221@mail.com
C000222,Customer 222,mumbai,user222@mail.com
C000223,Customer 223,,user223@mail.com
C000224,Customer 224, ,user224@mail.com
C000225,Customer 225,Bengaluru,user225@mail.com
